# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec  8 19:54:38 2023
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_rade asc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
#
pl_name	default_flag	pl_rade	pl_radeerr1	pl_radeerr2	pl_masse	pl_masseerr1	pl_masseerr2
11 Com b	1						
11 UMi b	1						
14 And b	1						
14 Her b	1				2559.47216	518.69596	-280.64248
16 Cyg B b	1						
17 Sco b	1						
18 Del b	1						
1RXS J160929.1-210524 b	1				3000.00000	300.00000	-300.00000
24 Boo b	1						
24 Sex b	1						
24 Sex c	1						
2M0437 b	1				1271.31363	317.82841	-317.82841
2MASS J01033563-5515561 AB b	1				4131.79000	317.83000	-317.83000
2MASS J01225093-2439505 b	1				7786.50000	794.50000	-794.50000
2MASS J04414489+2301513 b	1				2383.60000	794.50000	-794.50000
2MASS J12073346-3932539 b	1				1589.15000	635.66000	-635.66000
2MASS J19383260+4603591 b	1						
2MASS J22362452+4751425 b	1				3972.87500	476.74500	-476.74500
30 Ari B b	1						
4 UMa b	1						
42 Dra b	1						
47 UMa b	1						
47 UMa c	1						
47 UMa d	1						
51 Eri b	1				635.66000		
51 Peg b	1						
55 Cnc b	1						
55 Cnc c	1						
55 Cnc d	1						
55 Cnc f	1						
6 Lyn b	1						
61 Vir b	1						
61 Vir c	1						
61 Vir d	1						
7 CMa b	1						
7 CMa c	1						
70 Vir b	1						
75 Cet b	1						
75 Cet c	1						
8 UMi b	1						
81 Cet b	1						
91 Aqr b	1						
AB Aur b	1				2860.45566		
AB Pic b	1				4290.50000	158.90000	-158.90000
AF Lep b	1				1017.05090	222.47988	-190.69704
AU Mic b	1				20.12000	1.57000	-1.72000
AU Mic c	1				9.60000	2.07000	-2.31000
AU Mic d	1				1.05300	0.51100	-0.51100
BD+03 2562 b	1						
BD+14 4559 b	1						
BD+15 2375 b	1						
BD+15 2940 b	1						
BD+20 2457 b	1						
BD+20 2457 c	1						
BD+20 274 b	1						
BD+45 564 b	1						
BD+48 738 b	1						
BD+48 740 b	1						
BD+49 828 b	1						
BD+55 362 b	1						
BD+63 1405 b	1						
BD-00 4475 b	1						
BD-06 1339 b	1						
BD-06 1339 c	1						
BD-08 2823 b	1						
BD-08 2823 c	1						
BD-10 3166 b	1						
BD-11 4672 b	1						
BD-11 4672 c	1						
BD-13 2130 b	1						
BD-17 63 b	1						
BD-210397 b	1						
BD-210397 c	1				1525.57635	190.69704	-190.69704
CD Cet b	1						
CFBDSIR J145829+101343 b	1				3337.10000	1430.20000	-1430.20000
CHXR 73 b	1				3994.48600	2662.99100	-1664.36900
CI Tau b	1				3686.82800	921.70700	-858.14100
CoRoT-20 b	1				1366.66900	63.56600	-63.56600
CoRoT-20 c	1						
CoRoT-7 c	1				8.40000	0.90000	-0.90000
CoRoT-7 d	1				17.14200	2.55200	-2.55200
DE CVn b	1						
DENIS-P J082303.1-491201 b	1				9057.77000	603.85000	-603.85000
DH Tau b	1				3496.00000	3178.00000	-953.00000
DMPP-1 b	1						
DMPP-1 c	1						
DMPP-1 d	1						
DMPP-1 e	1						
DMPP-2 b	1						
DMPP-3 A b	1						
DMPP-4 b	1						
DP Leo b	1						
FU Tau b	1				5085.28000		
G 264-012 b	1						
G 264-012 c	1						
GJ 1002 b	1						
GJ 1002 c	1						
GJ 1061 b	1						
GJ 1061 c	1						
GJ 1061 d	1						
GJ 1132 c	1						
GJ 1148 b	1						
GJ 1148 c	1						
GJ 1151 c	1						
GJ 1265 b	1						
GJ 15 A b	1						
GJ 15 A c	1						
GJ 160.2 b	1						
GJ 163 b	1						
GJ 163 c	1						
GJ 163 d	1						
GJ 179 b	1						
GJ 180 b	1						
GJ 180 c	1						
GJ 180 d	1						
GJ 2030 b	1						
GJ 2030 c	1				4069.15709	742.12933	-678.88148
GJ 2056 b	1						
GJ 229 A c	1						
GJ 229 b	1						
GJ 251 b	1						
GJ 27.1 b	1						
GJ 273 b	1						
GJ 273 c	1						
GJ 3021 b	1						
GJ 3082 b	1						
GJ 3138 b	1						
GJ 3138 c	1						
GJ 3138 d	1						
GJ 317 b	1						
GJ 317 c	1						
GJ 3222 b	1						
GJ 328 b	1						
GJ 328 c	1						
GJ 3293 b	1						
GJ 3293 c	1						
GJ 3293 d	1						
GJ 3293 e	1						
GJ 3323 b	1						
GJ 3323 c	1						
GJ 3341 b	1						
GJ 338 B b	1						
GJ 3473 c	1						
GJ 3512 b	1						
GJ 3512 c	1						
GJ 357 c	1						
GJ 357 d	1						
GJ 3634 b	1				8.40000	4.00000	-1.50000
GJ 367 c	1						
GJ 367 d	1						
GJ 3779 b	1						
GJ 3929 c	1						
GJ 393 b	1						
GJ 3942 b	1						
GJ 3988 b	1						
GJ 3998 b	1						
GJ 3998 c	1						
GJ 411 b	1						
GJ 422 b	1						
GJ 4276 b	1						
GJ 433 b	1						
GJ 433 c	1						
GJ 433 d	1						
GJ 463 b	1				1144.18227	127.13136	-127.13136
GJ 480 b	1						
GJ 504 b	1				1271.30000	1430.20000	-317.80000
GJ 514 b	1						
GJ 536 b	1						
GJ 581 b	1						
GJ 581 c	1						
GJ 581 e	1						
GJ 625 b	1						
