# Update the catalog by copy/pasting the content from the NASA Exoplanet Archive's Table Access Protocol (TAP)
# https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_eqt+from+ps+where+default_flag=1&format=tsv
#
# or this link if you want to use best planet mass estimate (mass, m*sin(i), or m*sin(i)/sin(i)):
# https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_eqt+from+ps+where+default_flag=1&format=tsv
#
# Last update: 2024/04/24 - normal mass
# Warning: remember to keep this header (10 lines, 1st planet on line 11)
#
# pl_name	pl_rade	pl_radeerr1	pl_radeerr2	pl_masse	pl_masseerr1	pl_masseerr2	pl_eqt
OGLE-TR-10 b	14.011	1.569	-1.345	197.04600	44.49400	-44.49400	
BD-08 2823 c							
HR 8799 c	13.000	1.000	0.000	3000.00000	1000.00000	-1000.00000	
HD 110014 b							
TOI-2084 b	2.470	0.130	-0.130				5.27000000000e+02
TOI-5704 b	3.227	0.187	-0.140				9.49070000000e+02
HD 23472 d	0.750	0.067	-0.057	0.55000	0.21000	-0.20000	9.09000000000e+02
TOI-2194 b	1.989	0.131	-0.067				5.90880000000e+02
TOI-672 b	5.260	0.083	-0.099				6.76150000000e+02
TOI-199 b	9.079	0.056	-0.056	54.03083	6.35657	-6.35657	
TOI-199 c				88.99195	6.35657	-3.17828	
HD 235088 b	2.045	0.075	-0.075				8.05000000000e+02
TOI-2096 c	1.914	0.095	-0.095				3.49000000000e+02
HIP 5158 b							
HD 132563 b							
Kepler-24 c	2.800			508.50000			
GJ 667 C b							
GJ 667 C c							
GJ 667 C e							
GJ 667 C f							
GJ 667 C g							
CHXR 73 b				3994.48600	2662.99100	-1664.36900	
alf Ari b							
Kepler-370 c	1.910	0.890	-0.890				
Kepler-400 b	1.650	0.300	-0.300				
Kepler-221 b	1.710	0.170	-0.170				
Kepler-367 c	1.200	0.160	-0.160				
Kepler-393 c	1.330	0.310	-0.310				
Kepler-304 c	2.170	0.150	-0.150				
Kepler-360 b	1.650	0.780	-0.780				
Kepler-243 c	1.990	0.970	-0.970				
Kepler-261 c	2.000	0.140	-0.140				
Kepler-327 d	1.730	0.100	-0.100				
Kepler-136 b	2.050	0.380	-0.380				
Kepler-122 d	2.200	0.440	-0.440				
Kepler-157 c	2.240	0.430	-0.430				
Kepler-147 c	2.430	0.490	-0.490				
Kepler-239 b	2.330	0.150	-0.150				
Kepler-200 b	2.130	0.410	-0.410				
Kepler-243 b	2.450	1.160	-1.160				
Kepler-254 b	3.870	1.850	-1.850				
Kepler-172 c	2.860	0.530	-0.530				
Kepler-299 c	2.650	0.630	-0.630				
Kepler-278 c	3.590	0.430	-0.430				
Kepler-339 d	1.170	0.530	-0.530				
Kepler-397 b	2.460	21.320	-21.320				
Kepler-399 b	0.960	0.510	-0.510				
HD 219415 b							
HD 207832 c							
WASP-176 b	16.870	0.560	-0.504	271.74465	22.88376	-21.93027	1.72100000000e+03
TOI-1801 b	2.079	0.124	-0.110	5.73800	1.45500	-1.42800	4.93700000000e+02
TOI-836 c	2.587	0.088	-0.088	9.60000	2.70000	-2.50000	6.65000000000e+02
K2-98 b	5.200	0.190	-0.190				1.09200000000e+03
K2-271 b	7.280	0.230	-0.230				8.93000000000e+02
K2-133 e	1.730	0.140	-0.130				2.96000000000e+02
K2-133 d	2.003	0.107	-0.107				
K2-330 b	2.770	0.140	-0.090				9.69000000000e+02
K2-105 b	3.590	0.110	-0.070				9.28000000000e+02
TOI-3807 b	18.495			330.54154	47.67426	-44.49598	1.64600000000e+03
K2-148 b	1.330	0.190	-0.180				
TOI-4087 b	13.047	0.280	-0.269	232.01474	44.49598	-44.49598	1.45800000000e+03
TOI-2818 b	15.278	0.516	-0.504	225.65817	82.63539	-82.63539	1.37600000000e+03
TOI-2096 b	1.243	0.077	-0.072				4.45000000000e+02
TOI-3235 b	11.400	0.493	-0.493	211.35589	7.94571	-7.94571	6.04000000000e+02
TOI-4463 A b	13.260	0.717	-0.504	252.35576	12.39531	-12.71314	1.39500000000e+03
HD 213885 c							1.26540000000e+03
TOI-2141 b	3.050	0.230	-0.230	24.00000	4.00000	-4.00000	7.22000000000e+02
TOI-2525 b	8.676	0.112	-0.112	26.69759	1.58914	-1.58914	
TOI-3785 b	5.140	0.160	-0.160	14.95000	4.10000	-3.92000	5.82000000000e+02
