# NASA Exoplanet Catalog
# Source: https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_eqt+from+ps+where+default_flag=1+and+pl_controv_flag=0+and+pl_rade+is+not+null+and+pl_masse+is+not+null+and+pl_bmassprov='Mass'&format=tsv
# Catalog last updated: 2024-12-15 00:19:21
# pl_name	pl_rade	pl_radeerr1	pl_radeerr2	pl_masse	pl_masseerr1	pl_masseerr2	pl_eqt
OGLE-TR-10 b	14.011	1.569	-1.345	197.04600	44.49400	-44.49400	
HATS-61 b	13.395	0.751	-0.751	1080.62200	44.49620	-44.49620	1.22610000000e+03
HATS-63 b	13.529	0.437	-0.437	305.11680	38.13960	-38.13960	1.39830000000e+03
WASP-76 b	20.781	0.863	-0.852	284.13860	4.44960	-4.13177	2.22800000000e+03
PDS 70 b	30.488	2.242	-1.906	953.49000	317.83000	-317.83000	1.20400000000e+03
VHS J125601.92-125723.9 b	13.675			5085.25451	317.82841	-317.82841	1.19400000000e+03
GQ Lup b	33.600	5.600	-5.600	6356.00000			2.65000000000e+03
PDS 70 c	22.866	6.837	-5.044	635.66000	317.83000	-317.83000	9.95000000000e+02
HD 23472 d	0.750	0.067	-0.057	0.55000	0.21000	-0.20000	9.09000000000e+02
TOI-199 b	9.079	0.056	-0.056	54.03083	6.35657	-6.35657	
K2-29 b	13.339	0.224	-0.224	232.01590	12.71320	-12.71320	1.17100000000e+03
HAT-P-56 b	16.926	1.233	-1.233	734.18730	139.84520	-139.84520	
WASP-183 b	16.477	10.536	-3.699	159.55066	14.93801	-14.93801	1.11100000000e+03
HAT-P-68 b	12.016	0.135	-0.135	230.10892	13.66669	-13.66669	1.02780000000e+03
KELT-7 b	17.934	0.673	-0.673	441.78370	69.92260	-69.92260	
Kepler-105 b	2.530	0.070	-0.070	10.80000	2.30000	-2.30000	
HAT-P-33 b	20.737	5.492	-5.492	292.40360	158.91500	-158.91500	
TOI-260 b	1.710	0.080	-0.080	4.23000	1.60000	-1.60000	4.93000000000e+02
K2-3 b	2.078	0.076	-0.067	5.11000	0.65000	-0.64000	5.01300000000e+02
WASP-136 b	15.468	1.793	-1.793	479.92330	25.42640	-25.42640	1.74200000000e+03
K2-114 b	10.592	0.325	-0.314	638.83510	38.13941	-38.13941	7.01400000000e+02
WASP-71 b	13.227	1.345	-1.345	441.78370	104.88390	-104.88390	
Kepler-25 b	2.748	0.038	-0.035	8.70000	2.50000	-2.30000	
WASP-47 d	3.650	0.030	-0.030	15.50000	0.70000	-0.90000	
WASP-47 e	1.830	0.020	-0.020	9.00000	0.60000	-0.40000	
HD 189733 b	12.666	0.112	-0.112	359.14790	25.42640	-25.42640	
TOI-2384 b	11.489	0.235	-0.235	624.85065	18.75188	-18.75188	8.89700000000e+02
TOI-561 b	1.425	0.037	-0.037	2.00000	0.23000	-0.23000	2.31000000000e+03
WASP-156 b	6.028	0.128	-0.120	41.80000	2.90000	-2.90000	9.34498327568e+02
HAT-P-11 b	4.901	0.065	-0.065	25.00000	1.50000	-1.50000	8.47000000000e+02
K2-222 b	2.350	0.080	-0.070	8.70000	1.70000	-1.70000	8.71000000000e+02
HD 25463 b	2.545	0.112	-0.083	8.70000	2.70000	-2.60000	1.19845980411e+03
Kepler-44 b	12.220	0.780	-0.780	317.82000	31.78000	-31.78000	1.54400000000e+03
KELT-17 b	17.094	0.729	-0.673	416.35730	88.99240	-92.17070	2.08700000000e+03
WASP-166 b	7.062	0.336	-0.336	32.10083	1.58915	-1.58915	1.27000000000e+03
K2-25 b	3.440	0.120	-0.120	24.50000	5.70000	-5.20000	4.94000000000e+02
K2-18 b	2.370	0.220	-0.220	8.92000	1.70000	-1.60000	2.84000000000e+02
K2-329 b	8.676	0.291	-0.269	82.63580	6.35660	-6.99226	6.50000000000e+02
K2-266 d	2.930	0.140	-0.120	8.90000	5.70000	-3.80000	5.38300000000e+02
HAT-P-49 b	17.822	2.018	-2.018	699.22600	187.51970	-187.51970	
WASP-151 b	13.305	0.235	-0.235	100.43378	9.85268	-9.85268	1.31200000000e+03
HD 25463 c	1.364	0.130	-0.096	4.30000	1.90000	-1.90000	1.58556945807e+03
K2-30 b	11.646	0.560	-0.572	184.02357	8.89924	-8.58141	1.09200000000e+03
HD 106315 c	4.350	0.230	-0.230	15.20000	3.70000	-3.70000	8.86000000000e+02
Kepler-63 b	6.110	0.200	-0.200	120.00000			
