# Targets catalog - custom
# 
# Last update: 2025/08/13
# Source: 
#
# pl_name	pl_rade	pl_radeerr1	pl_radeerr2	pl_masse	pl_masseerr1	pl_masseerr2	pl_eqt
TOI-134.01	1.63000000	0.14000000	-0.14000000	4.07000000	0.45000000	-0.45000000	998.00
TOI-175.01	1.32900000	0.02900000	-0.02900000	2.00000000	0.13000000	-0.13000000	526.00
TOI-260 b	1.71000000	0.08000000	-0.08000000	4.23000000	1.60000000	-1.60000000	493.00
TOI-402.02	2.39000000	0.12000000	-0.12000000	8.11000000	1.82000000	-1.69000000	642.00
TOI-402.02	1.64000000	0.06000000	-0.06000000	7.51000000	1.09000000	-1.01000000	1001.00
TOI-455.01	1.34000000	0.11000000	-0.06000000	2.73000000	0.25000000	-0.23000000	431.00
TOI-562.01	1.21700000	0.08400000	-0.08300000	1.84000000	0.31000000	-0.31000000	525.00
TOI-776 b	1.79800000	0.07800000	-0.07700000	5.00000000	1.60000000	-1.60000000	520.00
TOI-776 c	2.04700000	0.08100000	-0.07800000	6.90000000	2.60000000	-2.50000000	420.00
TOI-836 c	2.58700000	0.08800000	-0.08800000	9.60000000	2.70000000	-2.50000000	665.00
TOI-836 b	1.70400000	0.06700000	-0.06700000	4.53000000	0.92000000	-0.86000000	871.00
