#########################################################################################################
# Evolutionary tracks from the Steam Worlds Evolution model (Aguichine+2024)
# 
# Model summary:
# Earth-like core (32.5% iron-sulfur alloy, 67.5% mantle with Earth-like Fe/Si ratio)
# Pure H2O envelope and pure H2O atmosphere connected at P_b = 1000 bar
# 
# Parameters:
# ST: Stellar Type (M or G), for radiative transfer in the atmosphere
# WMF: Water Mass Fraction, between 0.001 and 1
# T_eq: Equilibrium temperature (K), between 500 K and 700 K
# M_p: Planet mass (M_e), between 0.2 M_E and 20.0 M_E
# Age: Host star age (Gyr), between 0.01 Gyr and 20 Gyr, assuming the planet formed at t_0 = 10 Myr (can be adjusted)
# 
# Model outputs:
# R_p: Planet radius (R_E) at 20 mbar
# R_b: Planet radius (R_E) at 1000 bar
# T_b: Temperature (K) at 1000 bar)
# T_int: Intrinsic temperature (K), nominal values are between 10 K and 400 K
# s_env: Specific entropy of H2O in the envelope (in J/K/kg)
# 
# Sources of energy for the cooling, expressed as luminosities (in W):
# L_env: energy from the H2O envelope (thermal + gravitational)
# L_rad: radiogenic heat produced in the core
# L_core: thermal energy of the core
# L_grav: gravitational energy of the core
# 
# By construction:
# L_env + L_rad + L_core + L_grav = (4 * Pi * R_p**2) * (sigma_SB * T_int**4)
# 
# NB: The last line of each track represents an estimate of the time until "full exhaustion".
#########################################################################################################


#ST    WMF    T_eq          M_p       Age       R_p       R_b       T_b     T_int           s_env         L_env         L_rad        L_core        L_grav
M   0.0010   500.0   0.20000000    0.0100   0.87647   0.63489   6563.86    889.73   2.6877500e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00
M   0.0010   500.0   0.20000000    0.0101   0.80210   0.62552   3645.76    347.45   2.7006688e+00   2.64323e+15   5.36524e+13   1.64115e+17   2.18535e+14
M   0.0010   500.0   0.20000000    0.0105   0.78385   0.62220   2963.42    220.01   2.7052984e+00   4.20805e+14   5.36409e+13   2.61273e+16   3.47910e+13
M   0.0010   500.0   0.20000000    0.0110   0.77842   0.62102   2714.91    178.40   2.7069443e+00   1.80509e+14   5.36264e+13   1.12076e+16   1.49240e+13
M   0.0010   500.0   0.20000000    0.0120   0.77445   0.62004   2492.51    144.46   2.7083218e+00   7.69839e+13   5.35981e+13   4.77984e+15   6.36483e+12
M   0.0010   500.0   0.20000000    0.0150   0.76969   0.61894   2260.32    110.37   2.7098613e+00   2.55917e+13   5.35125e+13   1.58896e+15   2.11585e+12
M   0.0010   500.0   0.20000000    0.0200   0.76640   0.61820   2108.60     91.38   2.7109061e+00   1.15557e+13   5.33697e+13   7.17481e+14   9.55397e+11
M   0.0010   500.0   0.20000000    0.0300   0.76420   0.61755   1972.06     75.93   2.7118127e+00   5.05446e+12   5.30866e+13   3.13825e+14   4.17889e+11
M   0.0010   500.0   0.20000000    0.0500   0.76273   0.61700   1855.59     63.97   2.7125894e+00   2.13538e+12   5.25271e+13   1.32583e+14   1.76547e+11
M   0.0010   500.0   0.20000000    0.1000   0.76162   0.61647   1750.93     54.27   2.7133183e+00   7.23299e+11   5.11620e+13   4.49088e+13   5.98005e+10
M   0.0010   500.0   0.20000000    0.2000   0.76100   0.61615   1685.66     48.62   2.7137845e+00   2.17337e+11   4.85803e+13   1.34942e+13   1.79688e+10
M   0.0010   500.0   0.20000000    0.5000   0.76059   0.61590   1637.81     44.83   2.7141231e+00   5.25182e+10   4.17396e+13   3.26079e+12   4.34207e+09
M   0.0010   500.0   0.20000000    1.0000   0.76027   0.61572   1601.25     41.94   2.7143857e+00   3.98843e+10   3.19880e+13   2.47637e+12   3.29753e+09
M   0.0010   500.0   0.20000000    2.0000   0.75972   0.61537   1535.70     37.12   2.7148748e+00   3.97642e+10   1.86320e+13   2.46891e+12   3.28760e+09
M   0.0010   500.0   0.20000000    5.0000   0.75842   0.61453   1381.11     26.23   2.7160675e+00   2.48198e+10   3.71150e+12   1.54103e+12   2.05204e+09
M   0.0010   500.0   0.20000000   10.0000   0.75740   0.61384   1266.06     16.02   2.7170396e+00   7.85736e+09   2.67834e+11   4.87855e+11   6.49626e+08
