#100 Myr,1 nbar,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,2.75,3.63,,,,,,
2,2.14,2.39,2.97,3.78,5.4,,,
3,2.08,2.26,2.66,3.13,3.95,6.49,12.66,
4,2.09,2.26,2.57,2.94,3.55,5.21,8.17,15.88
5,2.13,2.28,2.55,2.87,3.39,4.7,6.79,11.2
6,2.17,2.31,2.55,2.85,3.31,4.44,6.12,9.37
8,2.25,2.37,2.59,2.85,3.25,4.19,5.49,7.82
10,2.34,2.44,2.64,2.88,3.25,4.08,5.21,7.14
13,2.43,2.53,2.72,2.95,3.28,4.03,5.01,6.66
16,2.52,2.61,2.8,3.01,3.33,4.03,4.93,6.44
20,2.62,2.71,2.89,3.1,3.4,4.06,4.9,6.3
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,3.11,3.69,5.3,,,,,
3,2.59,2.9,3.59,4.48,6.37,,,
4,2.45,2.7,3.15,3.72,4.76,8.18,,
5,2.42,2.62,2.98,3.43,4.19,6.34,10.55,
6,2.42,2.59,2.9,3.29,3.91,5.56,8.33,14.72
8,2.45,2.59,2.85,3.17,3.67,4.87,6.66,10.07
10,2.49,2.61,2.85,3.13,3.57,4.58,6,8.51
13,2.56,2.67,2.89,3.14,3.52,4.39,5.55,7.52
16,2.63,2.73,2.93,3.17,3.52,4.31,5.34,7.06
20,2.71,2.81,3,3.23,3.55,4.27,5.21,6.76
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,4.54,,,,,,,
4,3.55,4.06,5.19,,,,,
5,3.18,3.55,4.24,5.21,,,,
6,3.02,3.29,3.82,4.52,5.79,,,
8,2.89,3.08,3.46,3.95,4.75,6.93,10.85,
10,2.84,3,3.32,3.72,4.34,5.9,8.32,13.24
13,2.84,2.97,3.25,3.57,4.08,5.26,6.94,9.94
16,2.86,2.98,3.23,3.52,3.96,4.97,6.34,8.69
20,2.91,3.02,3.25,3.51,3.91,4.79,5.95,7.92
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,5.82,,,,,,,
8,4.38,4.88,6.02,,,,,
10,3.88,4.22,4.94,5.91,7.73,,,
13,3.57,3.82,4.31,4.94,5.99,8.93,,
16,3.45,3.64,4.05,4.54,5.32,7.31,10.54,
20,3.38,3.54,3.88,4.28,4.91,6.4,8.58,12.61
