#1 Gyr,1 nbar,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,2.52,3,,,,,,
2,2,2.19,2.58,3.1,4.01,,,
3,1.97,2.1,2.38,2.72,3.27,4.71,5.43,
4,1.99,2.1,2.34,2.63,3.06,4.12,5.72,8.83
5,2.02,2.13,2.35,2.61,2.98,3.87,5.14,7.42
6,2.06,2.16,2.38,2.61,2.95,3.75,4.85,6.74
8,2.13,2.24,2.44,2.64,2.95,3.65,4.56,6.1
10,2.21,2.33,2.5,2.69,2.98,3.62,4.44,5.8
13,2.33,2.43,2.59,2.77,3.04,3.63,4.38,5.6
16,2.44,2.52,2.67,2.85,3.1,3.66,4.37,5.52
20,2.55,2.63,2.77,2.94,3.19,3.72,4.39,5.49
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,2.87,3.28,4.27,,,,,
3,2.45,2.67,3.13,3.74,4.86,,,
4,2.34,2.5,2.84,3.28,3.96,5.87,,
5,2.3,2.44,2.74,3.08,3.62,4.98,7.15,
6,2.29,2.42,2.7,2.99,3.45,4.56,6.2,9.26
8,2.32,2.44,2.68,2.93,3.31,4.19,5.39,7.45
10,2.36,2.5,2.7,2.92,3.26,4.03,5.04,6.73
13,2.46,2.58,2.75,2.96,3.26,3.93,4.81,6.24
16,2.55,2.64,2.81,3,3.29,3.91,4.71,6.01
20,2.65,2.73,2.89,3.07,3.34,3.92,4.66,5.87
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,4.19,,,,,,,
4,3.32,3.67,4.48,,,,,
5,3,3.25,3.82,4.5,,,,
6,2.85,3.05,3.51,4.02,4.88,,,
8,2.72,2.91,3.23,3.6,4.19,5.65,7.9,
10,2.69,2.87,3.13,3.44,3.91,5.03,6.61,9.37
13,2.73,2.87,3.08,3.34,3.74,4.63,5.82,7.81
16,2.78,2.89,3.09,3.32,3.67,4.45,5.47,7.14
20,2.84,2.93,3.12,3.33,3.65,4.34,5.25,6.71
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,5.26,,,,,,,
8,4.09,4.55,5.36,,,,,
10,3.71,3.99,4.53,5.22,6.42,,,
13,3.46,3.65,4.03,4.5,5.25,7.17,,
16,3.35,3.5,3.82,4.19,4.78,6.17,8.18,
20,3.29,3.42,3.69,4,4.48,5.57,7.07,9.59
