#1 Gyr,1 nbar,,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,2.41,1.86,2.21,,,,,
2,1.67,1.78,1.97,2.19,2.52,3.33,4.57,
3,1.74,1.82,1.98,2.16,2.42,3.01,3.84,5.29
4,1.8,1.88,2.03,2.18,2.41,2.92,3.61,4.77
5,1.86,1.94,2.08,2.22,2.43,2.9,3.52,4.54
6,1.92,2,2.13,2.26,2.46,2.9,3.47,4.41
8,2.02,2.1,2.22,2.35,2.54,2.94,3.46,4.3
10,2.12,2.19,2.3,2.42,2.6,2.99,3.47,4.28
13,2.24,2.31,2.41,2.53,2.7,3.06,3.53,4.29
16,2.35,2.4,2.5,2.62,2.78,3.14,3.59,4.33
20,2.47,2.51,2.61,2.72,2.89,3.23,3.67,4.4
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,2,2.15,2.44,,,,,
3,1.96,2.06,2.27,2.51,2.85,3.7,,
4,1.98,2.07,2.25,2.44,2.72,3.38,4.28,5.84
5,2.01,2.1,2.26,2.43,2.68,3.24,4,5.26
6,2.05,2.13,2.28,2.44,2.67,3.18,3.86,4.96
8,2.13,2.21,2.35,2.49,2.69,3.15,3.73,4.68
10,2.21,2.29,2.41,2.54,2.74,3.16,3.69,4.57
13,2.31,2.39,2.5,2.62,2.81,3.2,3.69,4.51
16,2.41,2.47,2.58,2.7,2.87,3.25,3.73,4.51
20,2.52,2.57,2.68,2.79,2.96,3.32,3.78,4.55
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,2.48,,,,,,,
4,2.35,2.49,2.75,3.04,3.48,,,
5,2.31,2.43,2.65,2.88,3.23,4.07,,
6,2.3,2.41,2.61,2.81,3.11,3.81,4.75,
8,2.33,2.43,2.59,2.76,3.02,3.58,4.32,5.52
10,2.38,2.47,2.61,2.77,3,3.5,4.14,5.18
13,2.46,2.54,2.66,2.8,3.01,3.46,4.03,4.96
16,2.54,2.60,2.72,2.85,3.05,3.47,4,4.87
20,2.63,2.69,2.8,2.92,3.11,3.5,4.01,4.84
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,3.07,,,,,,,
8,2.9,3.04,3.29,3.59,,,,
10,2.84,2.95,3.15,3.4,3.76,4.59,,
13,2.82,2.91,3.08,3.28,3.58,4.24,5.1,
16,2.83,2.91,3.07,3.25,3.51,4.09,4.83,6.07
20,3.25,2.94,3.09,3.25,3.48,4,4.67,5.76
