#10 Gyr,20mbar,,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.33,1.36,1.46,,,,,
2,1.43,1.46,1.57,1.69,1.88,2.26,2.76,
3,1.54,1.57,1.68,1.79,1.94,2.29,2.74,3.49
4,1.62,1.67,1.76,1.87,2.02,2.35,2.77,3.46
5,1.7,1.74,1.83,1.94,2.09,2.41,2.82,3.47
6,1.76,1.81,1.9,2,2.15,2.47,2.86,3.49
8,1.88,1.92,2.01,2.11,2.27,2.57,2.94,3.55
10,1.97,2.01,2.1,2.22,2.36,2.65,3.02,3.62
13,2.08,2.13,2.24,2.34,2.48,2.77,3.14,3.73
16,2.18,2.23,2.35,2.45,2.58,2.87,3.23,3.82
20,2.29,2.37,2.47,2.57,2.71,2.99,3.34,3.93
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.58,1.6,1.7,,,,,
3,1.64,1.66,1.77,1.89,2.07,2.46,,
4,1.7,1.74,1.83,1.95,2.12,2.48,2.94,3.69
5,1.76,1.8,1.9,2.01,2.17,2.52,2.95,3.65
6,1.82,1.86,1.95,2.06,2.22,2.56,2.98,3.64
8,1.92,1.96,2.06,2.17,2.33,2.64,3.04,3.67
10,2,2.05,2.15,2.26,2.41,2.72,3.1,3.72
13,2.11,2.16,2.27,2.38,2.52,2.82,3.2,3.8
16,2.21,2.26,2.38,2.48,2.62,2.92,3.29,3.88
20,2.31,2.39,2.5,2.6,2.74,3.03,3.39,3.98
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.79,,,,,,,
4,1.84,1.85,1.96,2.1,2.29,,,
5,1.87,1.9,2.01,2.13,2.31,2.71,,
6,1.9,1.95,2.05,2.17,2.35,2.72,3.19,
8,1.99,2.03,2.14,2.26,2.43,2.77,3.2,3.88
10,2.06,2.11,2.22,2.34,2.5,2.82,3.24,3.89
13,2.16,2.21,2.34,2.45,2.6,2.91,3.31,3.94
16,2.25,2.32,2.43,2.54,2.69,3,3.38,4
20,2.36,2.44,2.55,2.66,2.8,3.09,3.47,4.08
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,2.1,,,,,,,
8,2.16,2.23,2.37,2.53,,,,
10,2.21,2.3,2.43,2.57,2.76,3.15,,
13,2.32,2.4,2.52,2.64,2.81,3.18,3.64,
16,2.41,2.49,2.6,2.71,2.87,3.22,3.66,4.37
20,2.79,2.59,2.69,2.79,2.95,3.29,3.71,4.4
