#100 Myr,RCB,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.21,1.33,1.54,,,,,
2,1.45,1.57,1.75,1.95,2.25,2.95,3.87,
3,1.62,1.72,1.89,2.07,2.34,2.98,3.84,5.27
4,1.75,1.84,2,2.17,2.44,3.03,3.82,5.16
5,1.84,1.92,2.07,2.25,2.5,3.06,3.81,5.07
6,1.91,1.99,2.14,2.31,2.56,3.09,3.8,5
8,2.04,2.12,2.26,2.42,2.65,3.16,3.81,4.92
10,2.14,2.21,2.35,2.5,2.73,3.21,3.83,4.88
13,2.25,2.33,2.47,2.62,2.83,3.29,3.88,4.87
16,2.35,2.44,2.57,2.71,2.92,3.37,3.94,4.9
20,2.47,2.55,2.68,2.83,3.03,3.47,4.02,4.97
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.42,1.53,1.71,,,,,
3,1.58,1.68,1.84,2.02,2.29,2.91,,
4,1.7,1.78,1.94,2.11,2.36,2.94,3.71,5.03
5,1.79,1.87,2.02,2.18,2.43,2.97,3.7,4.93
6,1.87,1.95,2.09,2.25,2.49,3.01,3.69,4.86
8,2,2.07,2.21,2.36,2.59,3.08,3.71,4.8
10,2.1,2.18,2.31,2.46,2.68,3.15,3.76,4.78
13,2.23,2.3,2.44,2.58,2.79,3.24,3.83,4.8
16,2.34,2.41,2.54,2.69,2.9,3.33,3.9,4.85
20,2.47,2.54,2.67,2.82,3.02,3.45,4,4.94
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.57,,,,,,,
4,1.68,1.76,1.91,2.08,2.33,,,
5,1.77,1.85,2,2.16,2.4,2.94,,
6,1.85,1.93,2.07,2.23,2.47,2.98,3.66,
8,1.98,2.06,2.19,2.35,2.57,3.06,3.69,4.77
10,2.09,2.16,2.3,2.44,2.66,3.13,3.74,4.76
13,2.22,2.29,2.42,2.57,2.78,3.23,3.81,4.8
16,2.33,2.4,2.53,2.68,2.88,3.32,3.89,4.85
20,2.45,2.52,2.65,2.8,3,3.43,3.99,4.93
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,1.85,,,,,,,
8,1.98,2.06,2.22,2.39,,,,
10,2.09,2.17,2.32,2.49,2.75,3.31,,
13,2.22,2.3,2.45,2.61,2.86,3.39,4.11,
16,2.33,2.41,2.55,2.71,2.95,3.47,4.17,5.41
20,2.83,2.53,2.67,2.83,3.06,3.56,4.25,5.45
