#10 Gyr,RCB,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.01,1.04,,,,,,
2,1.24,1.27,1.38,1.53,1.71,,,
3,1.39,1.42,1.56,1.69,1.88,2.26,2.75,
4,1.5,1.54,1.69,1.82,2,2.4,2.91,3.72
5,1.59,1.67,1.78,1.91,2.11,2.52,3.03,3.85
6,1.67,1.75,1.86,2,2.2,2.61,3.12,3.94
8,1.81,1.88,2,2.15,2.35,2.75,3.26,4.09
10,1.92,1.98,2.12,2.27,2.46,2.87,3.38,4.2
13,2.05,2.12,2.28,2.41,2.6,3.01,3.51,4.34
16,2.16,2.24,2.4,2.53,2.72,3.12,3.63,4.45
20,2.28,2.4,2.53,2.66,2.85,3.25,3.77,4.59
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.23,1.25,1.34,,,,,
3,1.37,1.39,1.53,1.66,1.84,,,
4,1.49,1.52,1.66,1.79,1.97,2.36,,
5,1.57,1.64,1.76,1.9,2.08,2.48,2.97,
6,1.65,1.73,1.84,1.97,2.18,2.57,3.07,3.87
8,1.8,1.86,1.98,2.13,2.33,2.72,3.22,4.03
10,1.91,1.97,2.1,2.26,2.44,2.84,3.34,4.15
13,2.04,2.1,2.27,2.4,2.58,2.99,3.49,4.3
16,2.15,2.23,2.39,2.51,2.7,3.1,3.61,4.42
20,2.27,2.39,2.52,2.65,2.83,3.23,3.74,4.55
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.36,,,,,,,
4,1.47,1.51,1.63,,,,,
5,1.56,1.62,1.73,1.86,,,,
6,1.63,1.71,1.82,1.96,2.16,,,
8,1.78,1.85,1.97,2.12,2.3,2.7,3.2,
10,1.89,1.95,2.1,2.24,2.42,2.82,3.32,4.14
13,2.03,2.1,2.26,2.38,2.57,2.97,3.47,4.29
16,2.14,2.24,2.38,2.5,2.69,3.09,3.6,4.42
20,2.27,2.39,2.51,2.63,2.82,3.23,3.73,4.55
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,1.63,,,,,,,
8,1.74,1.77,1.89,,,,,
10,1.85,1.9,2.05,2.15,2.32,,,
13,1.99,2.09,2.2,2.32,2.49,2.89,,
16,2.12,2.22,2.33,2.45,2.64,3.03,3.53,
20,2.29,2.37,2.47,2.6,2.79,3.19,3.7,4.52
