#10 Gyr,RCB,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.01,1.02,1.07,,,,,
2,1.23,1.25,1.35,1.45,1.57,1.83,2.17,
3,1.37,1.4,1.51,1.6,1.73,1.99,2.34,2.91
4,1.48,1.54,1.62,1.71,1.84,2.12,2.46,3.03
5,1.57,1.64,1.72,1.81,1.94,2.22,2.56,3.13
6,1.66,1.71,1.79,1.89,2.02,2.3,2.64,3.2
8,1.8,1.84,1.92,2.02,2.16,2.43,2.78,3.34
10,1.9,1.94,2.03,2.14,2.27,2.54,2.89,3.45
13,2.03,2.08,2.18,2.28,2.4,2.68,3.02,3.58
16,2.14,2.19,2.3,2.39,2.52,2.79,3.14,3.7
20,2.26,2.33,2.43,2.52,2.65,2.92,3.27,3.83
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.22,1.23,1.33,,,,,
3,1.36,1.39,1.49,1.58,1.7,1.96,,
4,1.47,1.53,1.61,1.7,1.82,2.09,2.44,3.01
5,1.56,1.62,1.7,1.79,1.92,2.2,2.55,3.1
6,1.65,1.7,1.78,1.87,2.01,2.29,2.63,3.18
8,1.79,1.83,1.91,2.01,2.15,2.42,2.76,3.32
10,1.89,1.94,2.03,2.13,2.26,2.53,2.87,3.43
13,2.02,2.07,2.18,2.27,2.4,2.67,3.01,3.57
16,2.13,2.19,2.29,2.38,2.51,2.79,3.13,3.69
20,2.25,2.33,2.42,2.52,2.65,2.92,3.26,3.82
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.37,,,,,,,
4,1.47,1.51,1.59,1.68,1.8,,,
5,1.56,1.61,1.69,1.78,1.91,2.18,,
6,1.65,1.69,1.77,1.86,2,2.27,2.61,
8,1.78,1.82,1.9,2.01,2.14,2.41,2.75,3.31
10,1.89,1.93,2.02,2.12,2.25,2.52,2.87,3.43
13,2.01,2.06,2.17,2.26,2.39,2.66,3.01,3.57
16,2.12,2.19,2.29,2.38,2.51,2.78,3.12,3.69
20,2.25,2.33,2.42,2.51,2.64,2.91,3.26,3.82
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,1.66,,,,,,,
8,1.8,1.85,1.95,2.04,,,,
10,1.91,1.98,2.07,2.16,2.29,2.58,,
13,2.06,2.12,2.21,2.3,2.44,2.72,3.08,
16,2.18,2.24,2.33,2.42,2.55,2.84,3.2,3.79
20,2.55,2.37,2.45,2.55,2.68,2.97,3.33,3.9
